Luxembourg,48.7,48.1,52.9,65.4,75.7,80.2,89.7,106,114.2,103.2,104.9,115.7,106.7,113.6,118.8,101.3,104.2,107.6,116.6,114.7
Switzerland,37.8,38.5,41.3,48,53.3,54.9,57.5,63.5,72.5,69.9,74.6,88.4,83.5,85.1,86.6,82,80.1,80.4,82.8,81.9
Norway,38.1,38.5,43,50.1,57.6,66.8,74.1,85.1,96.9,79.9,87.6,100.6,101.5,112.9,97,74.3,70.4,75.4,81.7,79.6
Ireland,26.2,28.2,32.5,41.1,47.6,50.8,54.3,61.3,61.2,52.1,48.7,51.8,48.9,51.5,55.4,61.9,63.1,69.8,78.6,78.6
Qatar,29.9,28.5,30.2,34.5,42.1,51.4,59.5,65.4,80.2,59,67.4,82.4,85,85,83,63,57.1,61.2,68.8,64.7
Iceland,32,28.7,32.3,39.4,47.3,56.6,56.6,69,56.4,41.3,43,47.5,45.9,49.5,54.2,52.5,61.4,71.3,72.9,66.9
USA,36.3,37.1,38,39.4,41.7,44.1,46.3,47.9,48.3,47,48.4,49.8,51.6,53.1,55,56.8,57.9,59.9,62.8,65.1
Singapore,23.8,21.7,22.1,23.7,27.6,29.9,33.7,39.4,40,38.9,47.2,53.9,55.5,56.9,57.5,55.6,56.8,60.9,66.1,65.2
Denmark,30.7,30.7,33.3,40.4,46.5,48.8,52,58.4,64,58.1,58,61.7,58.5,61.2,62.5,53.2,54.6,57.1,61.4,59.8
Australia,21.6,19.5,20,23.4,30.4,34,36,41,49.6,42.7,52,62.5,68,68.1,62.5,56.7,50,54,57.4,54.9
Netherlands,26.1,26.8,29.2,35.6,40.4,42,44.8,51.7,57.6,52.5,50.9,54.1,50,52.2,52.8,45.1,46,48.6,53,52.4
Sweden,29.6,27.2,29.9,37.3,42.8,43.4,46.6,53.7,56.1,46.9,52.8,60.7,58,61.1,60,51.5,51.9,53.7,54.5,51.6
Austria,24.5,24.5,26.4,32.2,36.8,38.4,40.6,46.8,51.7,47.9,46.8,51.4,48.5,50.7,51.1,44.1,45.2,47.5,51.5,50.2
Finland,24.2,24.9,26.8,32.8,37.7,39,41.1,48.4,53.5,47.3,46.4,51,47.7,49.8,50.2,42.7,43.7,46.3,50,48.6